Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Sentiment,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999,7,
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934,4,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1158449,1932,2,
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977,2,
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),2,
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859,1985,6,
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981,7,
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,4,
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989,6,
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982,5,
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281,1965,-1,
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,7084,1902,7,
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/1981,8670,,4,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1996,-6,
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,,0,
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902,-3,
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906,5,
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981,2,
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955,1,
AGN,"Allergan, plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,1578845,1983,-5,
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,1919,4,
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864,1994 (1975),-3,
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,,7,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,,4,
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998,2,
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994,-4,
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149,1997,-7,
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421,1985,-3,
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931,2,
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908,-3,
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,899866,1992,6,
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967,1,
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley,?Bristol, United Kingdom",6/7/2019,1748790,2019 (1860),3,
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,2488,1969,-3,
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930,-3,
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980,-2,
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894,0,
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995,-4,
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994,4,
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004,-3,
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969,1,
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1940s),4,
AON,Aon plc,reports,Financials,Insurance Brokers,"London,?United Kingdom",4/23/1996,315293,1982 (1919),6,
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,-2,
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769,1954,-2,
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940,0,
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932,-7,
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994,-2,
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994,7,
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906,1,
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008,-3,
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,915912,,-3,
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,1961,-1,
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,,-1,
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886,6,
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850,4,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,,6,
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916,-1,
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,,6,
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931,-2,
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,,-5,
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897,-1,
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,-4,
BFB,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,,0,*Edited BF.B to BFB
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,,-6,
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1390777,,5,
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1075531,,3,
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017,5,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,,-5,
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,,5,
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989,1,
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962,-2,
BRKB,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,,5,*Edited BRK.B to BRKB
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,885725,,5,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,,-3,
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,,-1,
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",5/31/1988,831001,,4,
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,,-2,
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,,0,
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,1783180,,0,
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230,1925,0,
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,,5,
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,,-3,
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,1138118,,6,
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1051470,,-6,
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,,5,
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,,-2,
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1402057,1984,-4,
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,1918,-5,
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,804753,,5,
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,,-5,
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,,7,
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,,3,
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,1905,-1,
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,,-5,
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,701221,,3,
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,,6,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806,-6,
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913,-4,
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,,-7,
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,1166691,,6,
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,,-4,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,,7,
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,1919,3,
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,811156,,7,
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,,7,
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,,5,
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1935,-3,
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,858470,,-3,
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,711404,,6,
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002,-5,
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,,2,
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",10/3/2016,1024305,,2,
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869,7,
CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,1530721,1981,-3,
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,900075,1982,6,
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",9/15/2008,1108524,,3,
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,,-6,
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948,1980,3,
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,1929,-2,
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,18926,,4,
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,,7,
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,1755672,2019,6,
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,877890,,3,
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996,-4,
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879,-6,
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,1358071,,-1,
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,2,
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,1929,-6,
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Midland, Michigan",4/2/2019,1666700,2017,-1,
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837,0,
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,,2,
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,,-6,
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,,4,
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978,5,
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,2,
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1001039,,-6,
DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,,7,
DISCK,Discovery Inc. Class C,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,1437107,,6,
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,,-3,
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,,4,
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,935703,,2,
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,1955,4,
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,1751788,2019,-7,
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,,5,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,-2,
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995,3,
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,,5,
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,927066,,-4,
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,,-5,
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1688568,2017,6,
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,,-5,
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995,5,
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,,-1,
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823,-7,
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,1899,6,
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,827052,1886,-6,
EL,Est?e Lauder Companies,reports,Consumer Staples,Personal Products,"New York, New York",1/5/2006,1001250,,4,
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,,6,
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1890,5,
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,,5,
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,,7,
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,906107,,2,
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966,-7,
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,920522,,-4,
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,1015780,,-7,
